maintenance_id,asset_id,maintenance_date_or_cycle,component,problem_description,problem_type,action_taken,action_type,severity,source_dataset,synthetic_asset_linkage
MX-0029,AC-067,162,BRACKET,FIREWALL CRACKED BY BATTERY BOX.,routine,ASSEMBLED FITTED PRIMED & PAINTED BRACKET & INSTALLED,ASSEMBLED & FITTED & PRIMED & PAINTED & INSTALLED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0030,AC-051,212,GROMMET,OIL PSI SWITCH WIRING GROMMET IS MISSING.,routine,INSTALLED NEW GROMMET.,INSTALLED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0031,AC-046,65,ENGINE,4TH STAGE NOZZLE HAS SEVERAL CRACKS IN IT.,routine,REMOVED ENGINE FROM AIRFRAME. DISASSEMBLED ENGINE IAW,REMOVED & DISASSEMBLED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0032,AC-034,59,ADEL CLAMP,VACUUM TUBE & OIL COOLER LINE ARE RUBBING TOGETHER.,routine,MOVED ADEL CLAMP & APPLIED 2 ZIP TIES NO DEFECTS NOTED,MOVED & APPLIED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0033,AC-029,28,SPIRAL WRAP,SPIRAL WRAP ON ROCKER OIL RETURN LINES REQUIRES REPLACEMENT.,difficult,REMOVED & REPLACED SPIRAL WRAP ON ROCKER RETURN LINES.,REMOVED & REPLACED,difficult,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0034,AC-075,9,GASKET,#3 INTAKE IS LEAKING.,routine,REMOVED & REPLACED GASKET.,REMOVED & REPLACED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0035,AC-089,101,BRACKET,BRACKET SECURING OIL LINE TO #2 CYLINDER BROKEN.,routine,REMOVED & REPLACED BRACKET.,REMOVED & REPLACED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0036,AC-067,255,REMAINING ITEMS,#3 CYLINDER HAS VALVE STICKING.,routine,INSTALLED REMAINING ITEMS.,INSTALLED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0037,AC-075,8,CYLINDER,ENGINE RUNS ROUGH ON START.,routine,REMOVED & REPLACED #3 CYLINDER IAW OVERHAUL MANUAL.,REMOVED & REPLACED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0038,AC-040,129,VALVE,#4 CYLINDER HAS LOW COMPRESSION AROUND 34 PSI.,routine,TRIED STAKING VALVES STILL NO COMPRESSION. INSPECTED,STAKING & INSPECTED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0039,AC-046,232,ROCKER COVER GASKET,#4 ROCKER COVER IS LEAKING.,routine,REMOVED & REPLACED #4 ROCKER COVER GASKET.,REMOVED & REPLACED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0040,AC-003,45,ALTERNATOR ATTACH BOLT,R/H ENGINE FORWARD ALTERNATOR ATTACH BOLT LOOSE.,routine,SECURED ALTERNATOR ATTACH BOLT & RESAFETIED.,SECURED & RESAFETIED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0041,AC-027,47,ENGINE,ENGINE IS TIMED OUT.,routine,REMOVED ENGINE IAW MAINT MANUAL.,REMOVED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0042,AC-090,128,ALTERNATOR COOLING HOSE,ALTERNATOR COOLING HOSE CHAFING AGAINST ALTERNATOR CABLE.,routine,REPOSITIONED ALTERNATOR COOLING HOSE.,REPOSITIONED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0043,AC-013,150,HOLE,#3 INTAKE TO ENGINE THREAD STRIPPED.,routine,DRILLED STRIPPED HOLE TAPPED & INSERTED HELICOIL.,DRILLED & TAPPED & INSERTED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0044,AC-043,12,ENGINE,4TH STAGE NOZZLE HAS SEVERAL CRACKS IN IT.,routine,PREPPED ENGINE FOR INSTALLATION & REINSTALLED IN A/C.,PREPPED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0045,AC-082,41,SPARK PLUG,#2 CYLINDER MISSING ON RUN UP (RUNS ROUGH).,routine,CLEANED GAPPED & TESTED #2 CYLINDER SPARK PLUGS OPS CHECK,CLEANED & GAPPED & TESTED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0046,AC-095,70,CHT PROBE,CYLINDER HEAD TEMPERATURE NEEDLE BOUNCES & HAD ENGINE RUN ROUGH.,routine,REMOVED & REPLACED CHT PROBE. INSPECTED ENGINE NO DEFECTS,REMOVED & REPLACED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0047,AC-075,108,COMPRESSION,ENGINE RUNS ROUGH ON START.,routine,PERFORMED COMPRESSION CHECK & FOUND #3 EXHAUST VALVE STUCK,CHECKED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0048,AC-076,50,SCREW,#3 BRAKE MISSING SCREW.,routine,REPLACED SCREW.,REPLACED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0049,AC-080,136,IDLE,ENGINE IDLE OVERRIDE KILLED ENGINE.,difficult,"TRIED TO ADJUST IDLE SEVERAL TIMES, WOULDN'T ADJUST.IDLE",ADJUST,difficult,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0050,AC-075,59,COMPRESSIONS,SEVERE KNOCKING VIBRATIONS ON START UP.,routine,INSPECTED COMPRESSIONS INDICATED NORMAL. REMOVED COWL,INSPECTED & REMOVED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0051,AC-038,48,INTAKE GASKET,#2 INTAKE IS LEAKING.,routine,REMOVED & REPLACED #2 INTAKE GASKET.,REMOVED & REPLACED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0052,AC-034,106,GASKET,#2 & 4 CYLINDER ROCKER COVER GASKETS ARE LEAKING.,routine,REMOVED & REPLACED GASKETS.,REMOVED & REPLACED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0053,AC-034,25,BOLT,FORWARD ENGINE HOIST LOOP BOLT IS LOOSE.,routine,REMOVED CLEANED SEALED INSTALLED & TORQUED BOLT WITH NEW.,REMOVED & CLEANED & SEALED & INSTALLED & TORQUED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0054,AC-007,50,BRACKET,ENGINE CORNER BRACKET BY PROP CABLE IS CRACKED.,routine,REMOVED & REPLACED BRACKET.,REMOVED & REPLACED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0055,AC-082,34,INTAKE,WHILE TAXIING ENGINE QUIT.,routine,FOUND #4 INTAKE WAS LEAKING. REMOVED & REPLACED INTAKE,REMOVED & REPLACED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0056,AC-031,92,A/C,STUDENT COULDN'T START A/C.,difficult,STARTED A/C FOR STUDENT.,STARTED,difficult,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0057,AC-012,96,ENGINE,ENGINE WOULD NOT START.,routine,STARTED ENGINE LEANED MIXTURE TO CLEAN SPARK PLUGS.,STARTED & LEANED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0058,AC-077,79,INTAKE TUBE,#1 INTAKE IS LEAKING.,routine,REMOVED & REPLACED INTAKE TUBE.,REMOVED & REPLACED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0059,AC-033,145,ENGINE,4TH STAGE NOZZLE HAS SEVERAL CRACKS IN IT.,routine,CONNECTED ENGINE IAW MAINT MANUAL. PERFORMED RUN UP.,CONNECTED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0060,AC-068,125,BAFFLE SPRING,LOWER RIGHT BAFFLE SPRING IS BROKEN.,routine,REPLACED WITH NEW BAFFLE SPRING.,REPLACED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0061,AC-089,9,SCREW,ROCKER BOX COVER SCREWS LOOSE.,routine,TIGHTENED SCREWS.,TIGHTENED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0062,AC-077,98,FUEL SERVO,ENGINE IDLE OVERRIDE KILLED ENGINE.,difficult,REMOVED & REPLACED FUEL SERVO,REMOVED & REPLACED,difficult,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0063,AC-040,151,ROCKER COVER,ROCKER COVER FOR CYLINDER #1 IS LEAKING.,routine,REPLACED ROCKER COVER.,REPLACED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0064,AC-090,13,STARTER RING GEAR,STARTER RING GEAR MISSING TEETH.,routine,REMOVED & REPLACED STARTER RING GEAR. RESAFETY WIRED.,REMOVED & REPLACED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0065,AC-012,45,SCREW,ROCKER BOX COVER SCREWS LOOSE (ALL CYLINDER).,routine,TIGHTENED SCREWS.,TIGHTENED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0066,AC-050,44,SEAL,CYLINDER #3 EXHAUST PUSH ROD TUBE SEAL LEAKING AT CASE.,routine,REPOSITIONED SEAL LEAK PERSISTS. DISASSEMBLED & REPLACED,REPOSITIONED & DISASSEMBLED & REPLACED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0067,AC-046,185,MX FLIGHT,MAX PERFORM T/O MP WON'T GO ANY HIGHER THAN SPEC.,difficult,REQUIRES MX FLIGHT TO VERIFY DISCREPANCY,REQUIRES,difficult,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0068,AC-051,179,PATCH,OIL COOLER BAFFLING CRACKED IN LOWER INBOARD CORNER.,routine,FABRICATED PATCH FROM LIKE MATERIAL.,FABRICATED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0069,AC-059,19,BRAKE LININGS,LEFT BRAKE LININGS ARE WORN OUT.,routine,REPLACED BRAKE LININGS.,REPLACED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0070,AC-013,104,RING GEAR ASSEMBLY,RING GEAR HAS TOO MANY DAMAGED TEETH.,routine,REMOVED PROP & INSTALLED SERVICEABLE RING GEAR ASSEMBLY.,REMOVED & INSTALLED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0071,AC-013,134,AIR BAFFLE,RIGHT ENGINE #4 AIR BAFFLE IS CRACKED,routine,REMOVED & REPLACED #4 AIR BAFFLE.,REMOVED & REPLACED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0072,AC-017,158,LEAK,#3 CYLINDER HAS NO COMPRESSION.,routine,RUN UP & LEAK CHECK GOOD.,RAN & CHECKED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0073,AC-043,171,DIPSTICK,PILOT COULDN'T REMOVE DIPSTICK.,difficult,REMOVED DIPSTICK FOR PILOT.,REMOVED,difficult,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
MX-0074,AC-012,103,LEAK,ENGINE OVERSPEED UP TO 3400 RPM AT TERMINATION OF AN AUTO.,routine,LEAK CHECK GOOD.,CHECKED,routine,Annotated Maintenance Logbook (Zenodo 10.5281/zenodo.17903357),True
